parametro,otimalidade_13,otimalidade_14,otimalidade_15,otimalidade_16,otimalidade_17,tempo_13,tempo_14,tempo_15,tempo_16,tempo_17
7,65.94864238373815,63.74856309553138,65.98891679837017,66.32713511100087,64.54187656526138,6.088830675000888,5.60061541666073,5.885329849996197,5.41909040833707,6.199595199990047
14,69.35534798165374,68.96388145647053,69.9518356658907,69.39061469332057,67.67319838784306,10.43024002500412,11.578032633330926,11.886645466666474,11.07990971666004,10.551735058329845
21,71.2483821661463,70.85970347885053,71.70880120697122,70.53365753471827,69.50712016733294,15.32453558333024,17.232974908336473,16.67722049999429,15.844478499993178,15.254427458334249
28,72.7213636885122,72.26770616012737,73.40408024392734,70.58061757091626,70.55201041396235,19.775031441667426,22.786641108330514,20.613349699992494,17.222789174998372,19.079976283338812
35,73.82265744981775,73.27978821762689,74.97812383314461,71.29429032326073,71.47101051915374,25.13979311667208,27.05830004999977,26.024910958338296,25.67162050000722,26.0485508999991
42,74.93373633928537,73.80245616526064,75.55696704044236,72.30837103524179,72.7617306446751,31.351645358338526,32.20223820000441,30.221706966668233,30.841307283330632,32.93247162500726
49,75.75451415804287,74.75197631385281,76.18485730497757,72.8982373858593,73.84504266984752,35.36740967499645,41.31267620833387,40.38038910833226,35.83556560833434,39.655743524994854
56,76.14104891340405,75.4103831358821,76.72641722833777,73.56690522874243,74.30370961541438,38.86448540833226,45.52659250832706,44.121850266667025,41.668028916668845,43.60061489166401
63,77.43137040251854,75.59962415991119,76.82707540048028,75.75326751816962,74.49392002747486,51.28488235833356,48.11175879166209,46.36541800000608,49.711388575010155,47.58730463332419
70,77.79332483694013,75.96638282525235,77.54274456640029,77.23372728035899,75.97914324451975,60.55943375000303,52.7488421333328,52.70589963333865,56.092347100003586,56.76689284166787
