parametro,otimalidade_13,otimalidade_14,otimalidade_15,otimalidade_16,otimalidade_17,tempo_13,tempo_14,tempo_15,tempo_16,tempo_17
7,66.4205581873753,64.70786639682133,66.40219639389956,64.33684316039623,64.29589157000287,5.539994525000414,5.130587324999699,5.474443383335408,4.109240575004757,4.7904789416643325
14,69.91889571762935,69.6645662714593,68.9877758212691,69.57298229334262,68.51038477300862,11.661896691664879,10.628381925004456,11.157822558336193,11.865074100001948,11.59828609166531
21,71.60336376772706,70.3157172413734,68.77374787394382,72.33559579019901,70.69088771262476,16.35242487500121,16.85587827500179,15.399235549998897,17.362836324993015,15.564017600001534
28,73.90687827655799,73.33778239389963,73.91417664485044,71.67782390022306,72.51647632000427,22.69781921666193,23.853445374996227,23.918550050002523,20.47070677500839,20.794745666668558
35,73.82265744981775,73.27978821762689,74.97812383314461,71.29429032326073,71.47101051915374,25.36229305833452,27.249049299998052,26.148096825001023,25.529502366659774,26.181639758336434
42,74.87302393154125,75.06763161759658,74.0110951875753,74.69874268334395,74.46226673885744,30.35137030833236,36.15262286666257,30.91837884166307,30.58045864167313,37.88933615000375
49,75.5608602598973,76.04759549015756,75.02710101404683,75.58552295456572,74.63320749027696,40.10411467499944,42.54113552499621,39.728283058325665,36.25930482499825,38.61780769999799
56,77.21509174162112,75.77165801027446,74.57210571368195,74.92095626972427,76.80677253986188,48.78911584999878,47.31884231666724,40.161728358332766,43.00964463332881,50.185874724998335
63,75.87571093253702,76.18364989320702,76.68348245716398,76.06199475173024,75.4436810732428,53.18110989999453,50.38338595000096,54.23608071666725,54.337362316655344,50.16746469168478
70,76.34034039887761,77.60662835980283,76.6723805194839,77.19300873952962,76.90723773055069,58.40215095833264,61.63404928333815,56.1438785499995,56.45261983332845,56.685617516670995
